Neighborhood,Zip,Population,Land Area sq. meter,,,,,,,,,,,,,,,,,
CENTRAL HARLEM,"10,026","38,937","860,745",,,,,,,,,,,,,,,,,
CENTRAL HARLEM,"10,027","64,728","2,257,090",,,,,,,,,,,,,,,,,
CENTRAL HARLEM,"10,030","30,996","722,465",,,,,,,,,,,,,,,,,
CENTRAL HARLEM,"10,037","19,177","683,722",,,,,,,,,,,,,,,,,
CENTRAL HARLEM,"10,039","27,090","1,199,360",,,,,,,,,,,,,,,,,
CHILSEA AND CLINTON,10001,25026,"1,609,400",,,,,,,,,,,,,,,,,
CHILSEA AND CLINTON,"10,011","50,228","1,705,240",,,,,,,,,,,,,,,,,
CHILSEA AND CLINTON,"10,018","8,135","833,392",,,,,,,,,,,,,,,,,
CHILSEA AND CLINTON,"10,019","45,521","1,761,260",,,,,,,,,,,,,,,,,
CHILSEA AND CLINTON,"10,020",0,"71,560",,,,,,,,,,,,,,,,,
CHILSEA AND CLINTON,"10,036","28,231","1,148,110",,,,,,,,,,,,,,,,,
EAST HARLEM,"10,029","74,617","2,136,940",,,,,,,,,,,,,,,,,
EAST HARLEM,"10,035","36,999","3,616,220",,,,,,,,,,,,,,,,,
GRAMERCY PARK AND MURRAY HILL,"10,010","34,763","1,011,820",,,,,,,,,,,,,,,,,
GRAMERCY PARK AND MURRAY HILL,"10,016","52,912","1,378,330",,,,,,,,,,,,,,,,,
GRAMERCY PARK AND MURRAY HILL,"10,017","16,065","829,152",,,,,,,,,,,,,,,,,
GRAMERCY PARK AND MURRAY HILL,"10,022","31,574","1,130,200",,,,,,,,,,,,,,,,,
GREENWICH VILLAGE AND SOHO,"10,012","23,034","837,301",,,,,,,,,,,,,,,,,
GREENWICH VILLAGE AND SOHO,"10,013","28,657","1,430,440",,,,,,,,,,,,,,,,,
GREENWICH VILLAGE AND SOHO,"10,014","29,071","1,474,950",,,,,,,,,,,,,,,,,
LOWER MANHATTAN,10004,"3,310","1,449,740",,,,,,,,,,,,,,,,,
LOWER MANHATTAN,10005,"8,664","190,416",,,,,,,,,,,,,,,,,
LOWER MANHATTAN,"10,006","3,260","237,784",,,,,,,,,,,,,,,,,
LOWER MANHATTAN,"10,007","4,152","423,358",,,,,,,,,,,,,,,,,
LOWER MANHATTAN,"10,038","24,205","770,757",,,,,,,,,,,,,,,,,
LOWER MANHATTAN,"10,280","9,372","358,650",,,,,,,,,,,,,,,,,
LOWER EAST SIDE,10002,"74,363","2,277,670",,,,,,,,,,,,,,,,,
LOWER EAST SIDE,10003,"54,671","1,493,000",,,,,,,,,,,,,,,,,
LOWER EAST SIDE,"10,009","58,267","1,596,980",,,,,,,,,,,,,,,,,
UPPER EAST SIDE,"10,021","42,253","1,002,600",,,,,,,,,,,,,,,,,
UPPER EAST SIDE,"10,028","47,962","813,698",,,,,,,,,,,,,,,,,
UPPER EAST SIDE,"10,044","12,770","625,938",,,,,,,,,,,,,,,,,
UPPER EAST SIDE,"10,065","30,339","1,000,540",,,,,,,,,,,,,,,,,
UPPER EAST SIDE,"10,075","22,591","477,958",,,,,,,,,,,,,,,,,
UPPER EAST SIDE,"10,128","57,993","1,219,020",,,,,,,,,,,,,,,,,
UPPER WEST SIDE,"10,023","62,228","1,270,410",,,,,,,,,,,,,,,,,
UPPER WEST SIDE,"10,024","60,714","2,221,830",,,,,,,,,,,,,,,,,
UPPER WEST SIDE,"10,025","92,162","1,946,720",,,,,,,,,,,,,,,,,
INWOOD AND WASHINGTON HEIGHTS,"10,031","60,280","1,685,540",,,,,,,,,,,,,,,,,
INWOOD AND WASHINGTON HEIGHTS,"10,032","59,527","1,702,840",,,,,,,,,,,,,,,,,
INWOOD AND WASHINGTON HEIGHTS,"10,033","58,648","1,565,760",,,,,,,,,,,,,,,,,
INWOOD AND WASHINGTON HEIGHTS,"10,034","41,933","2,917,180",,,,,,,,,,,,,,,,,
INWOOD AND WASHINGTON HEIGHTS,"10,040","45,197","976,162",,,,,,,,,,,,,,,,,
