Year,Zip,RatsN,
15,10001,15000,15000
15,10002,32850,32900
15,10003,0,0
15,10005,0,0
15,10006,0,0
15,10007,0,0
15,10009,37537.5,37500
15,10010,2100,2100
15,10011,26650,26700
15,10012,51000,51000
15,10013,22550,22600
15,10014,0,0
15,10016,8000,8000
15,10017,0,0
15,10018,0,0
15,10019,0,0
15,10020,0,0
15,10021,0,0
15,10022,18600,18600
15,10023,36100,36100
15,10024,69600,69600
15,10025,33640,33600
15,10026,14760,14800
15,10027,41850,41900
15,10028,0,0
15,10029,26600,26600
15,10030,39600,39600
15,10031,31500,31500
15,10032,15356.25,15400
15,10033,14933.33333,14900
15,10034,8400,8400
15,10035,12650,12700
15,10036,11900,11900
15,10037,3850,3900
15,10038,0,0
15,10039,5040,5000
15,10040,6600,6600
15,10044,0,0
15,10065,0,0
15,10069,0,0
15,10075,0,0
15,10128,20625,20600
15,10280,0,0
15,10301,13500,13500
15,10302,7225,7200
15,10303,13600,13600
15,10304,0,0
15,10305,0,0
15,10306,55000,55000
15,10307,1200,1200
15,10308,0,0
15,10309,0,0
15,10310,10350,10400
15,10312,0,0
15,10314,52800,52800
15,10451,10750,10800
15,10452,28000,28000
15,10453,26737.5,26700
15,10454,9360,9400
15,10455,17920,17900
15,10456,42622.22222,42600
15,10457,31257.69231,31300
15,10458,61050,61100
15,10459,18615,18600
15,10460,21206.25,21200
15,10461,0,0
15,10462,19212.5,19200
15,10463,14500,14500
15,10464,0,0
15,10465,0,0
15,10466,24750,24800
15,10467,29458.33333,29500
15,10468,15300,15300
15,10469,0,0
15,10470,2700,2700
15,10471,0,0
15,10472,22360,22400
15,10473,9450,9500
15,10474,0,0
15,10475,0,0
15,11001,0,0
15,11004,0,0
15,11101,44550,44600
15,11102,0,0
15,11103,0,0
15,11104,4400,4400
15,11105,0,0
15,11106,4675,4700
15,11201,0,0
15,11203,100800,100800
15,11204,20150,20200
15,11205,58800,58800
15,11206,224400,224400
15,11207,75141.66667,75100
15,11208,217500,217500
15,11209,0,0
15,11210,7425,7400
15,11211,32940,32900
15,11212,43733.33333,43700
15,11213,50960,51000
15,11214,3375,3400
15,11215,42625,42600
15,11216,99200,99200
15,11217,63825,63800
15,11218,0,0
15,11219,15600,15600
15,11220,8800,8800
15,11221,102170.8333,102200
15,11222,96800,96800
15,11223,25200,25200
15,11224,7150,7200
15,11225,25650,25700
15,11226,39780,39800
15,11228,0,0
15,11229,8400,8400
15,11230,0,0
15,11231,0,0
15,11232,0,0
15,11233,147225,147200
15,11234,30800,30800
15,11235,12150,12200
15,11236,39600,39600
15,11237,41400,41400
15,11238,44000,44000
15,11242,0,0
15,11249,0,0
15,11354,0,0
15,11355,0,0
15,11356,0,0
15,11357,0,0
15,11358,0,0
15,11360,0,0
15,11361,2400,2400
15,11362,0,0
15,11363,0,0
15,11364,0,0
15,11365,1400,1400
15,11366,0,0
15,11367,800,800
15,11368,0,0
15,11369,0,0
15,11370,0,0
15,11372,0,0
15,11373,40800,40800
15,11374,8400,8400
15,11375,4750,4800
15,11377,67600,67600
15,11378,0,0
15,11379,0,0
15,11385,123900,123900
15,11411,0,0
15,11412,10500,10500
15,11413,0,0
15,11414,1000,1000
15,11415,800,800
15,11416,2250,2300
15,11417,0,0
15,11418,0,0
15,11419,0,0
15,11420,0,0
15,11421,0,0
15,11422,0,0
15,11423,0,0
15,11426,0,0
15,11427,0,0
15,11428,0,0
15,11429,9500,9500
15,11432,43700,43700
15,11433,25000,25000
15,11434,0,0
15,11435,7600,7600
15,11436,0,0
15,11691,0,0
15,11692,0,0
15,11693,0,0
15,11694,300,300
