Regular Recapture,,,
,Year,No Buff,Buffer
,2011,2148043.355,2152733.406
,2012,2261830.971,2224256.344
,2013,2120568.418,2215763.093
,2014,2046829.94,2086605.421
,2015,2028927.986,2090228.297
,2016,2202051.278,2135905.546
,2017,2272960.805,2263636.364
,2018,2448194.876,2356132.552
,2019,2613154.054,2648821.622
,2020,2653625,2591873.684
,2021,2873389.853,2790132.36
,TOTAL,25669576.54,25556088.69
,,,
,Change Buffer,-0.004421103,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Recapture by Neighborhood,,,
,Year,No Buff,Buffer
,2011,2613419.551,-
,2012,2858990.55,-
,2013,2585370.986,-
,2014,2691251.169,-
,2015,2349679.756,-
,2016,2767396.56,-
,2017,2764092.738,-
,2018,2814681.075,-
,2019,3168331.736,-
,2020,2989084.891,-
,2021,3157991.981,-
,TOTAL,30760290.99,-
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
DYNAMIC,,,
,Year,No Buff,Buffer
,2011,2437376.064,2566233.587
,2012,2447672.438,2505638.076
,2013,2286634.846,2503543.675
,2014,2224841.177,2390692.472
,2015,2147492.766,2298983.111
,2016,2337321.605,2504735.795
,2017,2396026.784,2579371.1
,2018,2682564.193,2838007.458
,2019,2736856.138,2865805.471
,2020,2717344.8,2827864.221
,2021,2987121.731,3185032.94
,TOTAL,27401252.54,29065907.91
,Change Buff,0.060751068,
,,,
,,,
BY Zip,,,
,Year,No Buff,Buffer
,2011,2884038.663,2694963.787
,2012,2793915.591,2745678.808
,2013,2534431.872,2729866.656
,2014,2486231.094,2463184.682
,2015,2585773.343,2516015.402
,2016,2764149.09,3004309.056
,2017,2701605.223,2867438.787
,2018,2815652.626,2942588.551
,2019,3095954.483,3314449.255
,2020,3054279.476,3251420.304
,2021,3401576.638,3624699.74
,TOTAL,31117608.1,32154615.03
,Change Buff,0.033325406,
